不,26182
人,20807
山,15989
无,15619
风,15598
一,15111
日,14867
云,13351
有,12572
何,12287
来,12215
天,12116
中,11346
花,11288
时,11277
上,11075
春,11058
水,11011
月,10912
相,9609
年,9515
为,9419
生,9317
君,9263
长,9120
心,8959
自,8918
如,8663
知,8601
白,8448
归,8298
秋,8082
此,8073
行,7913
见,7797
去,7739
清,7479
夜,7465
江,7419
在,7376
空,7332
下,7277
得,7272
高,7169
里,6979
未,6946
明,6771
金,6607
多,6558
门,6545
青,6461
处,6406
是,6395
客,6388
寒,6254
落,6195
子,6191
声,6172
玉,6139
千,6057
三,5997
家,5975
雨,5968
今,5920
远,5873
事,5847
道,5840
前,5754
南,5750
朝,5735
万,5705
出,5628
路,5542
飞,5526
入,5504
东,5474
城,5435
我,5405
草,5395
尽,5364
深,5354
新,5308
与,5300
流,5272
开,5269
烟,5250
树,5238
思,5211
别,5084
已,5068
回,5049
地,5015
酒,4985
马,4973
西,4958
色,4955
将,4951
欲,4951
谁,4948
还,4918
应,4829
独,4739
可,4730
成,4710
闻,4693
闲,4681
光,4643
重,4593
向,4588
更,4587
阳,4480
同,4479
雪,4449
身,4425
望,4401
石,4393
香,4371
看,4345
满,4326
游,4301
愁,4294
海,4279
书,4193
老,4176
情,4169
从,4162
衣,4152
林,4142
红,4084
古,4072
歌,4067
头,4039
难,3987
尘,3968
楼,3887
方,3883
龙,3838
复,3828
旧,3800
莫,3782
黄,3773
名,3772
似,3763
能,3748
犹,3726
分,3676
后,3617
作,3581
平,3575
到,3567
气,3556
叶,3524
当,3522
言,3506
鸟,3490
仙,3482
过,3474
间,3452
十,3450
发,3410
几,3397
离,3395
王,3361
亦,3353
松,3338
初,3331
北,3298
台,3291
起,3284
诗,3259
意,3257
五,3240
外,3237
华,3233
非,3214
边,3205
竹,3205
百,3150
大,3133
随,3122
然,3121
故,3114
公,3109
梦,3091
宫,3086
暮,3083
安,3057
吟,2990
醉,2972
少,2961
孤,2958
枝,2955
晚,2955
国,2952
露,2941
汉,2935
野,2933
柳,2926
文,2904
阴,2895
神,2889
之,2886
世,2869
终,2854
坐,2784
所,2775
霜,2766
绿,2757
碧,2753
轻,2748
关,2743
幽,2743
若,2739
逢,2738
临,2737
好,2736
河,2728
留,2720
波,2712
岁,2706
微,2697
四,2688
问,2687
芳,2676
半,2672
连,2664
泉,2656
池,2627
乡,2614
共,2544
九,2540
影,2534
岂,2522
近,2520
小,2511
期,2510
须,2507
翠,2506
曲,2485
因,2484
断,2458
庭,2456
惊,2448
照,2436
经,2433
两,2431
乐,2414
吹,2412
溪,2410
双,2400
遥,2373
残,2351
动,2342
正,2336
晓,2326
曾,2318
寻,2300
忆,2300
对,2287
物,2277
垂,2265
舟,2265
居,2253
静,2242
苦,2242
却,2239
悲,2238
鹤,2205
木,2198
笑,2186
先,2183
沙,2182
楚,2177
才,2168
峰,2159
紫,2158
夕,2137
者,2136
鸣,2135
星,2125
凤,2121
依,2093
又,2091
和,2089
苍,2083
久,2081
常,2078
以,2077
语,2075
泪,2071
只,2071
怜,2063
车,2062
忽,2059
唯,2059
浮,2053
鱼,2050
至,2044
登,2041
通,2034
景,2030
官,2028
恩,2015
二,2011
宿,2007
传,1993
且,1987
早,1987
数,1986
雁,1979
听,1976
合,1966
女,1965
转,1964
堪,1952
真,1951
爱,1948
陵,1936
怀,1933
散,1932
虚,1912
寂,1904
送,1903
绝,1898
灵,1895
丹,1889
使,1881
园,1878
病,1873
川,1866
恨,1864
萧,1859
堂,1852
主,1850
帝,1848
疏,1845
舞,1844
吾,1839
寄,1825
秦,1815
穷,1808
州,1808
其,1784
火,1782
节,1781
窗,1779
昔,1771
太,1769
觉,1762
足,1749
兴,1747
悠,1743
皆,1736
乱,1734
死,1729
手,1726
